note0,note1,note2,note3
65,60,57,45
65,62,57,46
65,62,57,46
65,60,55,48
65,60,55,48
65,60,57,48
65,60,57,48
64,60,58,36
64,60,58,36
64,60,58,36
64,60,58,36
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,42
66,61,57,43
66,61,57,43
67,61,57,44
67,61,57,45
67,62,58,45
68,62,58,46
68,62,58,46
68,62,58,47
68,63,58,47
68,63,58,47
68,63,58,48
69,63,58,48
69,63,59,48
69,63,59,48
69,63,59,49
69,64,59,49
69,64,59,49
69,64,59,49
69,64,59,49
69,64,59,49
69,64,59,49
69,64,59,49
69,64,59,49
69,64,59,49
69,64,59,49
69,64,59,49
69,64,59,49
69,64,60,49
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,64,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
69,65,60,50
